Time_submitted,text,rating,Total_thumbsup,Reply,sentiment,text_length,word_count,text_clean
2022-06-22 16:26:13,"It's a brilliant app for streaming musics, listening to songs, podcasts and audiobooks, stories etc..",5,0,,1,101,15,brilliant app stream music listen song podcast audiobook story etc
2022-05-30 15:48:43,I cant play music without spotify crashing withon 1 minute of use,1,0,,0,65,12,not play music spotify crash withon minute use
2022-06-21 02:20:37,It's almost perfect! I wish the play next button has crossfade mixing effect too. I'd love that feature.,5,0,,1,104,18,perfect wish play button crossfade mix effect love feature
2022-07-01 05:08:55,best music app hands down!,5,0,,1,26,5,good music app hand
2022-06-20 14:50:04,Superb app very less ads i am happy 👍✌️,5,0,,1,39,9,superb app ad happy
2022-06-17 11:10:54,"The bloody autoplay feature just won't stop! It keeps playing random songs I don't like and didn't even added to the Playlist despite disabling it in the settings. After playing those annoying songs, ads roll in that lasts for like a minute or so. Instead of putting me in a good mood, it did the exact opposite. Don't use this app unless you have the budget for premium subscription. LISTENING MUSIC ON YOUTUBE IS WAY BETTER THAN AN APP LITERALLY CREATED FOR LISTENING MUSIC.",2,0,,0,476,84,bloody autoplay feature will not stop keep play random song not like not add playlist despite disable setting play annoying song ad roll last like minute instead put good mood exact opposite not use app budget premium subscription listening music youtube way well app literally create listen music
2022-07-07 11:16:22,"I don't see the control screen for podcasts anymore. It keeps playing in the background and there's absolutely no way to even pause or stop it other than force closing the app. This wasn't the case until today (July 07, 2022).",1,2,,0,226,41,not control screen podcast anymore keep play background absolutely way pause stop force close app not case today july 07 2022
2022-06-27 12:27:40,"Hi. Just wanted to say I love the app. But, today I got a new device and tried to transfer everything. When it came to my spotify I can't get my paid membership. Wha can I do about this? Thanks",4,0,,1,193,40,hi want love app today get new device try transfer come spotify not pay membership wha thank
2022-06-14 03:27:27,Awesome music and playlist Variety of artists and genres,5,0,,1,56,9,awesome music playlist variety artist genre
2022-06-16 01:41:34,Biggest issue is I cannot reorder playlists manually or make folders in app. Other than that the app is fine. Something I'd love to have in app is though is the ability to set alarms and have them point to a specific song or playlist. There are alarm apps that sync to Spotify but none match the want/need that I have.,4,21,,1,318,61,big issue reorder playlist manually folder app app fine love app ability set alarm point specific song playlist alarm app sync spotify match wantneed
2022-06-21 02:21:57,I'm a dj and like the music updates and jamming to my Playlist in the car,5,0,,1,73,16,dj like music update jam playlist car
2022-06-08 06:52:18,Update - Spotify is back working fine! Old news - Been Subscribed to Spotify for a long time now but the latest update doesn't allow the app to work. Continuous to crash upon opening. Hoping for a solution soon. Thank you.,5,0,,1,222,41,update spotify work fine old news subscribe spotify long time late update not allow app work continuous crash opening hop solution soon thank
2022-06-27 17:41:56,"Great app, you can find eny song and good quality 👌",5,0,,1,51,11,great app find eny song good quality
2022-06-30 15:24:44,Best songs quality and very easy to use . 😊😊,5,0,,1,44,10,good song quality easy use
2022-06-17 17:49:20,"I honestly don't care what people say about Spotify, I mean a lot of people now hate Spotify and rather listen to songs on YouTube instead. It's most likely because you have to skip songs just to listen to the song that you want, but like if you hate or don't like Spotify than you're just something else (impatient is what you are) any have a good day and don't go on TIKTOK. I'll leave a 5 star review on TIKTOK check bit out.",5,0,,1,428,84,honestly not care people spotify mean lot people hate spotify listen song youtube instead likely skip song listen song want like hate not like spotify impatient good day not tiktok ill leave star review tiktok check bit
2022-05-30 16:22:28,Used to be better. Now I'm getting 2 ads per song back to back alot... Like alot. Also the intuitive selections seems not that intuitive.,2,0,,0,137,25,well get ad song alot like alot intuitive selection intuitive
2022-07-07 17:37:35,Best music app so far,5,0,,1,21,5,good music app far
2022-06-01 15:55:03,Stop adding songs to my playlist,1,0,,0,32,6,stop add song playlist
2022-06-09 00:07:34,It runs will just skip podcast while in the middle of listening and no 30 second preview when adding to Playlist. The app is getting worse with each update. I will be back in a month or 2 to change it to 1 star shortly.,2,0,,0,219,45,run skip podcast middle listening 30 second preview add playlist app get bad update month change star shortly
2022-06-14 22:21:21,"Choice spot on. Ads are a bind but the nature of things, do not overload!!",4,0,,1,74,15,choice spot ad bind nature thing overload
2022-06-13 22:39:17,Plays Radom songs that aren't on your playlist and waitt wait it dose that after making you wait thro 10 ads it's so annoying,1,1,,0,125,24,play radom song not playlist waitt wait dose make wait thro 10 ad annoying
2022-07-06 09:13:07,"Spotify is literally the worst platform you could use to listen to podcasts. They insert ads that aren't associated with the podcast makers and it makes podcasts sound disjointed. Premium doesn't even help in that regard. Some podcast episodes are also missing random 20 second snippets of audio, which aren't missing on other platforms so this is on Spotify's end. Most likely some kind of bug related to the aforementioned ads inserted into episodes by Spotify themselves.",1,1,,0,474,77,spotify literally bad platform use listen podcast insert ad not associate podcast maker make podcast sound disjointed premium not help regard podcast episode miss random 20 second snippet audio not miss platform spotifys end likely kind bug relate aforementioned ad insert episode spotify
2022-06-02 14:30:44,I Have my own Spotify play listo but it doesn't play those songs,2,0,,0,64,13,spotify play listo not play song
2022-05-31 05:36:45,5 stars until you removed the android widget!!! It was the only way I interacted with Spotify now I have to go in through menus etc to use it. Why? What harm was it doing?,1,0,,0,171,35,star remove android widget way interact spotify menus etc use harm
2022-07-03 21:27:12,Wont let me skip or turn off shuffle spotify isnt bad but spotify mobile is horrible.,1,1,,0,85,16,will not let skip turn shuffle spotify not bad spotify mobile horrible
2022-06-01 20:48:01,08/03/2022: Bug occurred. This has now been fixed. 23/09/2019: The only music app I use! Spotify is bae ❤️,5,0,,1,106,19,08032022 bug occur fix 23092019 music app use spotify bae
2022-06-21 03:45:53,A big tease. I don't recommend. Way too frustrating to listen to a specific song after 'liking' it.,1,0,,0,99,18,big tease not recommend way frustrating listen specific song like
2022-06-09 15:15:13,"Why is everything so zoomed in now? It makes it much harder to use. Also, Spotify is recognizing audio files on my phone despite it not having permission to look at my files.",1,0,,0,174,33,zoom make hard use spotify recognize audio file phone despite have permission look file
2022-06-01 03:14:19,"The new version (8.7.34.1317) fix my problem, now i can enjoy play music again, spotify is my fav music player right now Good job dev, thanks.",5,3,,1,142,26,new version 87341317 fix problem enjoy play music spotify fav music player right good job dev thank
2022-06-08 19:20:46,Constantly crashes. Can't listen to more than 5 minutes without having to reopen and load again.,1,0,,0,96,16,constantly crash not listen minute have reopen load
2022-06-20 06:05:16,Good app but glitchy sometimes but generally good.,5,0,,1,50,8,good app glitchy generally good
2022-06-06 13:24:27,"Yeah, its a good app i usually love it but there are some features u should add on and don't keep to much adds as a free version user its a very good experience with this app love it :)",4,0,,1,185,40,yeah good app usually love feature add not add free version user good experience app love
2022-06-29 14:20:59,World best music player 👍👍👌👌👌👍👍👍👍👍👌👌👌❤❤❤❤❤❤❤❤lovely app for music,5,0,,1,65,8,world good music player lovely app music
2022-07-08 03:20:11,"Overall, a great application for listening to music 10/10 for that. However the app has some bugs sooo uhhh yeah, I can't even open the app anymore without being stuck on the logo sooo you guys lose points there. 8/10 would recommend.",4,0,,1,234,42,overall great application listen music 1010 app bug sooo uhhh yeah not open app anymore stick logo sooo guy lose point 810 recommend
2022-06-14 15:33:00,Difficult to access on a second device,5,0,,1,38,7,difficult access second device
2022-06-18 15:33:18,It's the best music platform I have ever seen even you can listen the song in your playlist even tho when your one day data plan is over and that also kpop pop and many more that you keep in your playlist I love this but the thing is that I am facing some problem to set ringtone with it but it's ok,5,0,,1,299,63,good music platform see listen song playlist tho day datum plan kpop pop playlist love thing face problem set ringtone ok
2022-06-28 03:21:37,"This app is 100% one that I cannot live without on my phone. If you have premium, your experience is highly enhanced and refined to your tastes. This is my favorite music app.",5,0,,1,175,33,app 100 live phone premium experience highly enhanced refine taste favorite music app
2022-06-02 20:17:36,"For whatever the reason, my layout is completely messed up. You know when you listen to a song and the pause button is in the middle surrounded by previous and next? Well not for me. And I have no idea why it is like that. I tried logging out and in and it goes back to normal but the moment I exit the app it messes up again.",4,5,,1,326,68,reason layout completely mess know listen song pause button middle surround previous idea like try log go normal moment exit app mess
2022-07-08 21:29:03,Great app.too many commercials,5,0,,1,30,4,great apptoo commercial
2022-07-08 13:50:13,Still garbage. If I wasn't so deep into creating my library using Spotify I would use a different app. Constantly have to redownload everything for absolutely no discernable reason. App closed and reopened? Guess you're downloading your entire library for the third time this week.,1,7,,0,281,45,garbage not deep create library spotify use different app constantly redownload absolutely discernable reason app close reopen guess download entire library time week
2022-06-13 11:07:56,Downloaded song not play without internet. Very disappointed by this app. This is my first experience in spotify which is very bad.,1,0,,0,131,22,download song play internet disappointed app experience spotify bad
2022-06-16 12:29:47,"The phone app continues to crash when loading the feed and when starting a podcast. ""Turning it off and on again,"" is not a solution for a company that has the resources to secure exclusivity contracts of the largest names in the podcast space. Fix the software. The smart TV app is even more disappointing, still no video for podcasts uploaded with video.",2,14,,0,356,63,phone app continue crash load feed start podcast turn solution company resource secure exclusivity contract large name podcast space fix software smart tv app disappointing video podcast upload video
2022-06-03 23:07:09,"The app keeps on crashing. It closes automatically. I can't play any music/song even though I'm in a premium plan. I performed all the troubleshooting but it still didn't resolve my issue. My phone is Vivo V2025 that runs on android version 12. This is the only app that is crashing on my phone, the rest are working perfectly fine. I checked the Spotify support and it seems all customers that are under Vivo phones are having the same issue. Please fix this. I don't want to waste my premium plan.",1,2,,0,499,91,app keep crash close automatically not play musicsong premium plan perform troubleshooting not resolve issue phone vivo v2025 run android version 12 app crash phone rest work perfectly fine check spotify support customer vivo phone have issue fix not want waste premium plan
2022-06-17 10:58:01,"So many bugs. Doesn't work smoothly in airplane mode, when you should still be able to listen to downloaded episodes. Also crashes occasionally.",1,0,,0,144,23,bug not work smoothly airplane mode able listen download episode crash occasionally
2022-06-13 21:43:17,I like Spotify it's great 👍 music app,5,0,,1,37,8,like spotify great music app
2022-06-11 07:10:02,This is the shittest app i have ever used i make my own playlist can't even listen to any of my songs and all i get is recommended and i have internet fix your damn app!,1,0,,0,169,36,shitt app playlist not listen song recommend internet fix damn app
2022-06-26 08:01:11,Hands down best music app,5,0,,1,25,5,hand good music app
2022-06-04 03:43:00,"Bad app, theres better options available, hard to navigate menus you have to pay money if you want to skip songs in playlists theres no option to just listen to a song you have to listen to through a entire playlist its just bad not worth the download.",1,0,,0,252,48,bad app well option available hard navigate menu pay money want skip song playlist option listen song listen entire playlist bad worth download
2022-06-27 18:27:24,Not able to login in any way,1,0,,0,28,7,able login way
2022-06-18 17:39:27,Too many adds,1,0,,0,13,3,add
2022-06-30 13:43:31,It is a very good music app to use,5,0,,1,34,9,good music app use
2022-06-05 21:32:27,"i find it stupid that im using spotify premium, yet i have to be connected to the internet in order TO PLAY my DOWNLOADED playlist. it should've been played since the essence of having spotify on premium is to listen to music wherever u are even in the most deserted land. this is just plain disappointment",1,0,,0,306,56,find stupid spotify premium connect internet order play downloaded playlist ve play essence have spotify premium listen music deserted land plain disappointment
2022-06-30 16:24:29,Does not let me play my entire library. There are too many albums to like individually,1,0,,0,86,16,let play entire library album like individually
2022-06-04 12:11:33,"Last I checked I was in the upper 10% of Spotify listeners, so. Clearly I use this app a lot. I'd call it the best music streaming service on the market currently.",5,0,,1,163,32,check upper 10 spotify listener clearly use app lot good music streaming service market currently
2022-06-03 18:54:57,"Not bad, I can't find all the songs I want to listen to on it though",4,0,,1,68,16,bad not find song want listen
2022-07-03 21:43:26,It's the greatest thing since jelly with peanut butter.,5,0,,1,55,9,great thing jelly peanut butter
2022-07-03 16:57:41,So easy so navigate.,5,0,,1,20,4,easy navigate
2022-06-15 03:45:34,"Really good app you can find almost any song you want on here. One thing I don't like about this app is that it gives you like five ads and then asks if you want to get 30 minutes of ad free music, it should give you like three ads and then like a few songs before it does that that's my one change that I would like. But other than that I love this app I would definitely recommend it 💅🏼✨",5,18,,1,389,82,good app find song want thing not like app give like ad ask want 30 minute ad free music like ad like song change like love app definitely recommend
2022-06-23 21:12:47,Maybe I will rate it 5star after I have maybe enjoyed the spotify,1,0,,0,65,13,maybe rate 5star maybe enjoy spotify
2022-06-06 21:14:57,"I just pulled Spotify back up and am blown away by the amount of commercials and the poor music choices. You really have no value offer, just more commercials will push me to not use it like I stopped using the radio.",1,0,,0,217,42,pull spotify blow away commercial poor music choice value offer commercial push use like stop radio
2022-06-05 11:32:16,After the new update the Mobile app isn't working... PLEASE FIX THE BUG,1,1,,0,71,13,new update mobile app not work fix bug
2022-07-07 02:19:53,Way better than Apple music or Amazon music,5,0,,1,43,8,way well apple music amazon music
2022-06-23 13:10:21,I think it's the best app for listening music 🎼 I really like it so much 😃💜,5,0,,1,75,17,think good app listen music like
2022-06-20 15:39:08,"5 stars if you have premium. By far best music and podcast service. Totally worth paying for premium, especially if you can do a Family, duo, or student plan. Without premium ads are very annoying, and you can't select songs, only shuffle playlists.",5,2,,1,249,43,star premium far good music podcast service totally worth pay premium especially family duo student plan premium ad annoying not select song shuffle playlist
2022-06-24 14:20:16,"Simple to use, happy I added this happy!",4,0,,1,40,8,simple use happy add happy
2022-06-01 19:17:52,"The now playing widget in the bottom left doesn't work. So, I cannot pause/play, skip, ff, nothing. I've reinstalled, I've updated. I have to close the app to stop whatever is playing.",1,0,,0,184,32,play widget left not work pauseplay skip ff ve reinstall ve update close app stop play
2022-06-18 18:13:02,So many problems. Songs don't play keep pausing or stopping want a refund for the last month,1,0,,0,92,17,problem song not play pause stop want refund month
2022-06-29 14:49:53,Always have music on so use Spotify and stream it through house.,5,0,,1,64,12,music use spotify stream house
2022-06-24 07:35:38,Can find all the music I want and works offline anywhere so it's great for my job,5,0,,1,81,17,find music want work offline great job
2022-06-19 23:24:06,Thanks for bringing back the playlist button. Now it's perfect.,5,0,,1,63,10,thank bring playlist button perfect
2022-06-25 04:15:46,"Great music, can send stream to Echos, computer, TV, phone, etc",4,0,,1,63,11,great music send stream echos computer tv phone etc
2022-07-03 19:17:55,"can you please fix this app. Every time I go on the search bar to search some songs, my screen goes black and the song is not playing. Too many glitch.",1,0,,0,151,31,fix app time search bar search song screen go black song play glitch
2022-07-08 18:02:54,If offline mode was available for the normal version of Spotify like you could save some artists who you like and play their songs,4,0,,1,130,24,offline mode available normal version spotify like save artist like play song
2022-06-28 15:50:54,"AUGH THAT WAS CRAZY, I'VE NEVER ACTUALLY EXPERIENCED THAT SORT OF ATMOSPHERE IN AN APP BEFORE, ITS ABSOLUTE ELECTRIC, THE PASSION, EVERYTHING I'VE HEARD.",5,0,,1,153,24,augh crazy ve actually experience sort atmosphere app absolute electric passion ve hear
2022-06-21 02:11:25,It was good first until YOU guys updated it. At first I was able to pick any song I wanted but NOW I have to use all my skips to get the song that I want (if the song is far then... You're not getting there) also there are too many ads I can't listen to a song/podcast without an ad popping up. I will be updating it back to 5 stars if you fix your stuff and make this app useful again.,1,0,,0,386,83,good guy update able pick song want use skip song want song far get ad not listen songpodcast ad popping update star fix stuff app useful
2022-07-04 15:47:32,Really great had a good time having a good timereally enjoyed it,5,0,,1,64,12,great good time have good timereally enjoy
2022-06-21 17:37:18,Sometimes the system can't handle me playing to much music and if I swipe app and come back on to try play the same song it just simply won't play! Else I do prefer it over apple music !,4,0,,1,186,39,system not handle play music swipe app come try play song simply will not play prefer apple music
2022-06-02 22:37:42,"Been using the app for years, best part was the car mode especially As a professional driver! Why is it gone??? Now glitches out and stops working on download music? What's going on Spotify? Premium customer here. Would really rather not go back to Amazon music!!! ****06/02/22****** still no car mode!!!! Bring it back!!!!",2,4,,0,323,54,app year good car mode especially professional driver go glitche stop work download music go spotify premium customer amazon music 060222 car mode bring
2022-07-03 14:33:06,"I have been using this app for over a year but, recently the app has gone down hill. The ability to preview songs before adding them to playlists was removed making it 10 times harder to form a good playlist. Then there is the issue with the ""30 minutes of uninterrupted listening."" It has never and probably will never be 30 minutes which just makes it unbearable to listen to. nvm its back now ads still suck though",4,91,,1,417,78,app year recently app go hill ability preview song add playlist remove make 10 time hard form good playlist issue 30 minute uninterrupted listening probably 30 minute make unbearable listen nvm ad suck
2022-05-31 03:09:46,"I searched for a song, then I tapped on it. It wasn't the song that I typed in. It was some guys play list that he created. When you look for a song, you expect the actual song & not another man's playlist. There are better apps. Audiolmack is better.",1,0,,0,251,50,search song tap not song type guy play list create look song expect actual song mans playlist well app audiolmack well
2022-06-20 11:53:23,"The largest selection of music, podcasts and easy to use",5,0,,1,56,10,large selection music podcast easy use
2022-06-04 15:45:01,"Everything is great and I love this app but the only problem is that something when I open soptify my search list is delete which for me is so so so annoying because it's not like everytime they decide to delete it I will search back all the songs again,I do that because I can't remember a pesefic song at that time. It has been happening to me for quite some time.I know this will not change a thing but I just wanted to know if it happens to any of you",1,0,,0,455,92,great love app problem open soptify search list delete annoying like everytime decide delete search song againi not remember pesefic song time happen timei know change thing want know happen
2022-06-29 13:50:29,Glitchiest POS app i have on my phone but great music selection.,1,1,,0,64,12,glitchi pos app phone great music selection
2022-07-08 07:42:04,too much advertising during listning songs 😬,1,0,,0,44,7,advertising listne song
2022-06-18 22:48:27,I dont want half an hour of ads for 1 song you are a joke and this is why people will continue to find ways around your joke of an app,1,0,,0,134,31,not want half hour ad song joke people continue find way joke app
2022-07-01 13:27:11,"Fix the glitch where if you like a song without actually clicking it to make it play, it doesn't actually add to your liked songs. The heart will fill green and appear so but if you go into album and play song, it's not filled green or 'liked'",4,0,,1,243,48,fix glitch like song actually click play not actually add liked song heart fill green appear album play song fill green like
2022-06-11 02:51:30,"Great music, good app",4,0,,1,21,4,great music good app
2022-06-29 15:18:32,"New updates brought a ""Allow Bluetooth"" screen to popup everytime I open the app. Not sure why it keeps asking permissions for things it already has and might actively be using",2,0,,0,176,31,new update bring allow bluetooth screen popup everytime open app sure keep ask permission thing actively
2022-06-22 16:31:25,Upload Connection Error Log,1,0,,0,27,4,upload connection error log
2022-07-05 18:39:58,"Great desktop version, free version on app is obviously worse. You get what you (don't) pay for I guess. Appreciate that ads are needed but there seem to be significantly more. That's a minor whinge. The fact the app throws random songs into your playlists is extremely annoying.",2,1,,0,279,48,great desktop version free version app obviously bad not pay guess appreciate ad need significantly minor whinge fact app throw random song playlist extremely annoying
2022-06-10 02:33:09,As a premium theres no ads and free to skip or when we offline. If we are not premium theres many ads and cannot skip- 😀👌,5,0,,1,121,26,premium ad free skip offline premium ad skip
2022-07-05 06:44:55,"Since the new update, the ""now playing"" tab keeps disappearing and I can't even pause or click next track. After a while, the track stops. I have tried uninstall and install it again, but it keeps happening. Pls fix the bug, it's annoying.",2,1,,0,239,43,new update play tab keep disappear not pause click track track stop try uninstall install keep happen pls fix bug annoying
2022-07-02 09:11:09,This app is great as it makes play lists depending on what you've listened to before and generally puts together a good list for you to listen to.,5,0,,1,146,28,app great make play list depend ve listen generally put good list listen
2022-06-14 17:28:20,I absolutely love this app but I have no clue why the song I search doesn't play and instead some random song plays. Kindly fix the issue.,5,0,,1,138,27,absolutely love app clue song search not play instead random song play kindly fix issue
2022-07-03 08:50:00,It is the better but a am chose one Star because this app ads so iriteded,1,0,,0,73,16,well choose star app ad iritede
2022-06-13 23:19:36,Put shuffle play on ya right it the shame sequence over and over. Waste of money. Over 1500 song downloaded yet the same bloody 100 songs on repeat you can even guess what's next like a cd. If it gets sorted I'd be surprised. There should be a €3.99 version where you can skip songs and download but listen to a 30 sec ad every hour instead of wasting €9.99 not worth it when you can't burn songs keep them or even have a proper shuffle play,2,0,,0,441,87,shuffle play ya right shame sequence waste money 1500 song download bloody 100 song repeat guess like cd get sorted surprised 399 version skip song download listen 30 sec ad hour instead waste 999 worth not burn song proper shuffle play
2022-07-06 12:45:03,Best music app i have ever used,5,0,,1,31,7,good music app
2022-06-19 09:29:04,Why did you guys remove the song preview when making a playlist?,4,1,,1,64,12,guy remove song preview make playlist
2022-06-14 16:33:34,Your app is constantly stopping!!! I love spotify but it's enough to make me stop using it!!,1,0,,0,92,17,app constantly stop love spotify stop
2022-06-19 16:44:48,It automatically stops the songs without any problem I have go again to app to play songs that frustrates to use this app it's easy to use Jio savanna instead of it,1,0,,0,164,32,automatically stop song problem app play song frustrate use app easy use jio savanna instead
2022-06-12 11:31:43,I enjoyed it when I first try it but after the last update I can't play the songs that I want it's always in a shuffle instead of playing the song that I want it plays a different song,2,0,,0,184,39,enjoy try update not play song want shuffle instead play song want play different song
2022-06-19 15:40:10,Great service I always enjoy it can pick out exactly what I want to listen to you should get it,5,0,,1,95,20,great service enjoy pick exactly want listen
2022-06-11 08:25:38,"Nice app, getting all songs even while getting offline but the one problem is the adds otherwise 5star music app ❤️💯💯",4,0,,1,117,21,nice app get song get offline problem add 5star music app
2022-06-02 14:17:32,"I can't afford premium, so i expect there to be ads. But 10 in a row during a mental breakdown when i need comfort music is infuriating. And there used to be a thing with ""watch this ad and there will be 30 mins of uninterrupted listening"" which used to pop up at least once a day. I haven't gotten one of those in months. It feels like I'm listening to more ads than music, which is not what I want from a music app.",1,301,,0,417,85,not afford premium expect ad 10 row mental breakdown need comfort music infuriate thing watch ad 30 min uninterrupted listening pop day not get month feel like listen ad music want music app
2022-06-05 14:46:17,Easy to use. Great selection of music. Reasonably priced.,5,0,,1,57,9,easy use great selection music reasonably price
2022-06-20 17:39:36,Closes randomly during podcasts. No clue why S22 galaxy,2,0,,0,55,9,close randomly podcast clue s22 galaxy
2022-06-11 19:50:44,Every time I open the app there is adds more common. And it's not short adds like YouTube. You'll spend over a minute watching three adds often afters only 2 or 3 songs. Not to mention how misleading the half hour of free listening is. Told me I have 30 minutes of add free listening at 20:42 and gave me an ad at 20:45.,1,0,,0,320,64,time open app add common short add like youtube ll spend minute watch add after song mention misleading half hour free listening tell 30 minute add free listening 2042 give ad 2045
2022-07-07 19:35:17,Just awesome and easy,5,1,,1,21,4,awesome easy
2022-06-23 12:15:04,Overall Spotify has been a great way to listen to music. I love making playlists and listening to other stations and playlists too. Thank you!,5,0,,1,142,25,overall spotify great way listen music love make playlist listen station playlist thank
2022-06-04 13:14:16,I don't know what the problem is. but suddenly the pause/play button slides to the left.,1,0,,0,88,16,not know problem suddenly pauseplay button slide left
2022-07-01 04:41:07,Personalization is their Forte love having Playlists designed just for me!!! DAILY,5,0,,1,82,12,personalization forte love have playlist design daily
2022-06-04 15:27:53,It is an amazing and absolutely satisfying app. It saves data as it don't need much and because of this reason I can listen songs after my data is over. It is also easy to use but there is one thing which disturbs the most and that is ads.The app shows too many ads. The ads are coming after every time. Please do something of ads. I hope you can do something with ads. Otherwise everything thing is perfect.,4,80,,1,408,79,amazing absolutely satisfying app save datum not need reason listen song data easy use thing disturb adsthe app show ad ad come time ad hope ad thing perfect
2022-06-25 15:36:00,I love Spotify!,5,0,,1,15,3,love spotify
2022-06-30 19:36:31,App has all songs I search and is very efficient and gives best music sound too. I love it.,5,0,,1,91,19,app song search efficient give good music sound love
2022-05-31 10:34:46,Spotify is a very convenient service. I use it for podcasts and playing music on Sonos speakers. I just wish Neil Young and CSN were still in there. Unfortunately they were 2 of my favorites.,4,0,,1,191,35,spotify convenient service use podcast play music sonos speaker wish neil young csn unfortunately favorite
2022-06-01 14:31:31,This is the Best App 👍 Premium Version is Recommended!,5,0,,1,54,10,good app premium version recommend
2022-07-01 19:06:47,When I got to play a song it brings me to a playlist and I can't just enjoy song that I want to listen to it's annoying that they add random songs to my playlist and I can't skip them,2,0,,0,183,40,get play song bring playlist not enjoy song want listen annoying add random song playlist not skip
2022-06-29 18:28:04,"Spotify is nice and all but when ever I try to play a song I want to play it plays another song that is similar to the one I want to hear, I never get to listen to the actual songs I want to listen to and it's kind of annoying",2,0,,0,226,51,spotify nice try play song want play play song similar want hear listen actual song want listen kind annoying
2022-07-02 04:10:32,I can listen to all music using I play games I love that facility,4,0,,1,65,14,listen music play game love facility
2022-06-09 09:42:57,Keeps my playlist for free thanks Spotify clash on man,4,0,,1,54,10,keep playlist free thank spotify clash man
2022-06-20 13:49:39,"I don't know why I can download songs, because the app doesn't work without internet and sometimes not even with it.",2,0,,0,116,21,not know download song app not work internet
2022-05-30 15:20:49,It's best music app In India,5,0,,1,28,6,good music app india
2022-06-28 18:52:06,I hate this app. You are too selfish to even listen to the fact that this app is not continuing to play music like it's supposed to when you update this music listening app. It loves stopping in the middle of a song and not keep playing like it's meant to do. This is pitiful for everyone and not enjoyable. I looked for a solution to this problem. But all have failed.,1,3,,0,369,72,hate app selfish listen fact app continue play music like suppose update music listen app love stop middle song play like mean pitiful enjoyable look solution problem fail
2022-06-25 18:29:38,This app is my fav but there are many issues to fix in means like in YouTube there is dawload video so when no network but fun.But there is no options for this or else this app is nice.,4,0,,1,185,39,app fav issue fix mean like youtube dawload video network funbut option app nice
2022-06-06 10:54:23,Best music app ever :),5,1,,1,22,5,good music app
2022-06-03 17:36:10,"Excellent range of music but is very slow at times and the interface can be pretty annoying. Updates seem to be released every week or so. For the money being paid, it's not reliable enough. For some reason Spotify make it very difficult to pick and select songs to play. Where is the control panel? Why does it randomly start playing when not in use?",1,258,,0,351,65,excellent range music slow time interface pretty annoying update release week money pay reliable reason spotify difficult pick select song play control panel randomly start play use
